Date/Time,LV ActivePower (kW),Wind Speed (m/s),Theoretical_Power_Curve (KWh),Wind Direction (°),date,tavg,tmin,tmax,wdir,wspd,wspd_m_s,riesgo_score,riesgo_operativo,viento_oeste
2018-06-17,41.88236800105199,3.0524894181224984,66.92987101732602,265.1069950809078,2018-06-17,1.8,-2.0,8.0,315.0,22.4,6.222222222222221,3.2759380953179438,Bajo,1
2018-06-18,149.7303934898226,3.6069421768188423,186.1868724942316,199.65055027148765,2018-06-18,0.9,-2.7,6.0,311.0,26.4,7.333333333333333,3.900831972757972,Bajo,0
2018-06-19,1398.4979990853185,7.781979430052953,1578.1880152891056,35.76657000515191,2018-06-19,1.4,-0.7,4.6,295.0,37.0,10.277777777777777,6.794743213587327,Bajo,0
2018-06-20,1382.486017862953,7.902168545458044,1590.1954410590238,50.65570869710706,2018-06-20,2.2,0.5,4.0,291.0,40.9,11.36111111111111,6.9635233494970485,Bajo,0
2018-06-21,202.9930015396737,3.6178009127163175,253.3590162964502,73.56870480544029,2018-06-21,-0.7,-3.3,4.4,273.0,30.3,8.416666666666666,4.184013880963124,Bajo,0
2018-06-22,374.50963629834223,4.025894773589976,462.0125314873863,213.45944872811083,2018-06-22,-3.2,-6.2,1.8,248.0,21.4,5.944444444444444,4.224425753042874,Bajo,0
2018-06-23,996.7685551196316,6.528376282917122,1117.736538226175,126.96877866983392,2018-06-23,-3.7,-6.5,1.0,253.0,16.5,4.583333333333333,5.48369243641694,Bajo,0
2018-06-25,2195.476732042098,9.648903754022363,2507.67384915937,58.26899419890505,2018-06-25,1.3,-3.1,3.0,73.0,17.5,4.861111111111111,7.07156447463564,Bajo,0
2018-06-26,974.788082001056,6.587369143540119,1124.162503366162,101.51887409399568,2018-06-26,0.8,-0.4,3.3,305.0,9.6,2.6666666666666665,4.525754819457405,Bajo,0
2018-06-27,1194.9755372347015,7.26433571777511,1401.4253497483926,166.7555942366605,2018-06-27,-1.6,-4.0,1.0,213.0,6.6,1.8333333333333333,5.125268097331732,Bajo,0
2018-06-29,1876.0451647440564,9.066211962037594,2170.608457846793,211.4339214960729,2018-06-29,-3.9,-7.0,0.2,252.0,14.0,3.888888888888889,6.917504955000334,Bajo,0
2018-06-30,1951.0367476145395,9.289766801728124,2239.355161138994,223.1677332984072,2018-06-30,-3.2,-6.0,1.0,253.0,14.5,4.027777777777778,6.97941563659243,Bajo,0
